WORKBOOK_NAME,PROJECT_NAME,DASHBOARD_NAME,DASHBOARD_PATH,DATASOURCE_NAME,TABLE_NAME
CSX Health Metrics Dashboard,Personal Space,CSX Health metrics,CSX_Healthmetrics_dashboard_WIP/CSXHealthmetrics,CSX_Health_MAU,'SHEET 1$'
SABA SFDC Reports,Legacy CRM History,Account Details,SABASFDCReports/AccountDetails,LEGACY_SABA_SFDC_ACCOUNT_Data,ACCOUNT
SABA SFDC Reports,Legacy CRM History,Account Details,SABASFDCReports/AccountDetails,LEGACY_SABA_SFDC_ACCOUNT_Data,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced),default,Analysis - Adhoc,SalesforceNonprofitCloudDonationsAdvanced/Analysis-Adhoc,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced) 1,default,Analysis - Adhoc,SalesforceNonprofitCloudDonationsAdvanced1/Analysis-Adhoc,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced),default,Analysis - Country,SalesforceNonprofitCloudDonationsAdvanced/Analysis-Country,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced) 1,default,Analysis - Country,SalesforceNonprofitCloudDonationsAdvanced1/Analysis-Country,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced),default,Analysis - Seasonality,SalesforceNonprofitCloudDonationsAdvanced/Analysis-Seasonality,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced) 1,default,Analysis - Seasonality,SalesforceNonprofitCloudDonationsAdvanced1/Analysis-Seasonality,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced),default,Appeals,SalesforceNonprofitCloudDonationsAdvanced/Appeals,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced) 1,default,Appeals,SalesforceNonprofitCloudDonationsAdvanced1/Appeals,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced),default,Appeals Lifetime,SalesforceNonprofitCloudDonationsAdvanced/AppealsLifetime,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced) 1,default,Appeals Lifetime,SalesforceNonprofitCloudDonationsAdvanced1/AppealsLifetime,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced),default,Cockpit,SalesforceNonprofitCloudDonationsAdvanced/Cockpit,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced) 1,default,Cockpit,SalesforceNonprofitCloudDonationsAdvanced1/Cockpit,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced),default,Donors,SalesforceNonprofitCloudDonationsAdvanced/Donors,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced) 1,default,Donors,SalesforceNonprofitCloudDonationsAdvanced1/Donors,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced),default,Top KPIs Trends,SalesforceNonprofitCloudDonationsAdvanced/TopKPIsTrends,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced) 1,default,Top KPIs Trends,SalesforceNonprofitCloudDonationsAdvanced1/TopKPIsTrends,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced),default,Top Performers,SalesforceNonprofitCloudDonationsAdvanced/TopPerformers,Donations - Payments,ACCOUNT
Salesforce Nonprofit Cloud Donations (Advanced) 1,default,Top Performers,SalesforceNonprofitCloudDonationsAdvanced1/TopPerformers,Donations - Payments,ACCOUNT
ICP - Draft Version,Marketing Dev,ICP - Draft,ICP-DraftVersion/ICP-Draft,ICP Data Source - Online Version,ACCOUNTS
ICP - Draft Version,Marketing Dev,ICP - Draft,ICP-DraftVersion/ICP-Draft,ICP Data Source - Online Version,ACCOUNTS
ICP - Draft Version,Marketing Dev,ICP - Draft,ICP-DraftVersion/ICP-Draft,ICP Data Source - Online Version,ACCOUNTS
ICP Project - Online Version,Marketing,ICP - Draft,ICPProject-OnlineVersion/ICP-Draft,ICP Data Source - Online Version,ACCOUNTS
ICP Project - Online Version,Marketing,ICP - Draft,ICPProject-OnlineVersion/ICP-Draft,ICP Data Source - Online Version,ACCOUNTS
ICP Project - Online Version,Marketing,ICP - Draft,ICPProject-OnlineVersion/ICP-Draft,ICP Data Source - Online Version,ACCOUNTS
ICP - Draft Version,Marketing Dev,ICP - Main Page,ICP-DraftVersion/ICP-MainPage,ICP Data Source - Online Version,ACCOUNTS
ICP - Draft Version,Marketing Dev,ICP - Main Page,ICP-DraftVersion/ICP-MainPage,ICP Data Source - Online Version,ACCOUNTS
ICP - Draft Version,Marketing Dev,ICP - Main Page,ICP-DraftVersion/ICP-MainPage,ICP Data Source - Online Version,ACCOUNTS
